,PriceUpdateDate,ItemCode,ItemType,ItemNm,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,bIsWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus,Location
80,2022-02-28 13:15:00,7290004137311,1,גבינה צהובה לייט 9% שומן 400 ג' עמק,לא ידוע,לא ידוע,גבינה צהובה לייט 9% שומן 400 ג' עמק,יחידה,1,יחידה,0,12.0000,31.9,31.9000,0,1,16 עכו
81,2022-02-28 13:54:00,7290004584351,1,גבינה במרקם שמנת 5% טבעי  200 ג' סימפוניה,לא ידוע,לא ידוע,גבינה במרקם שמנת 5% טבעי  200 ג' סימפוניה,יחידה,1,יחידה,0,12.0000,10.4,10.4000,0,1,16 עכו
82,2022-02-28 13:10:00,7290005318177,1,גבינה 800 ג' ראמה,לא ידוע,לא ידוע,גבינה 800 ג' ראמה,יחידה,1,יחידה,0,0.0000,39.9,39.9000,0,1,16 עכו
83,2022-02-28 13:15:00,7290005322037,1,גבינה מלוחה 400 ג' הגליל,לא ידוע,לא ידוע,גבינה מלוחה 400 ג' הגליל,יחידה,1,יחידה,0,0.0000,20,20.0000,0,1,16 עכו
84,2022-02-28 13:15:00,7290005431913,1,עוגת גבינה פירורים 92 ג',לא ידוע,לא ידוע,עוגת גבינה פירורים 92 ג',יחידה,1,יחידה,0,0.0000,5.9,5.9000,0,1,16 עכו
85,2022-02-28 13:15:00,7290005431920,1,עוגת גבינה פירורים לייט 78 ג',לא ידוע,לא ידוע,עוגת גבינה פירורים לייט 78 ג',יחידה,1,יחידה,0,0.0000,5.9,5.9000,0,1,16 עכו
86,2022-02-28 13:15:00,7290005559907,1,פיצה משפחתית גבינה 500 ג' מעדנות,לא ידוע,לא ידוע,פיצה משפחתית גבינה 500 ג' מעדנות,יחידה,1,יחידה,0,10.0000,16.9,16.9000,1,1,16 עכו
87,2022-02-28 13:15:00,7290005838002,1,מעדן גבינה ויוגורט בטעם וניל  88 ג' דניאלה,לא ידוע,לא ידוע,מעדן גבינה ויוגורט בטעם וניל  88 ג' דניאלה,יחידה,1,יחידה,0,24.0000,3.9,3.9000,0,1,16 עכו
88,2022-02-28 13:15:00,7290006271655,1,מיני בורקס גבינה  800 ג' מעדנות,לא ידוע,לא ידוע,מיני בורקס גבינה  800 ג' מעדנות,יחידה,1,יחידה,0,12.0000,19.9,19.9000,1,1,16 עכו
89,2022-02-28 13:10:00,7290006306296,1,רביולי במילוי גבינה לילדים  400 ג' פסטה נונה,לא ידוע,לא ידוע,רביולי במילוי גבינה לילדים  400 ג' פסטה נונה,יחידה,1,יחידה,0,7.0000,22.9,22.9000,1,1,16 עכו
90,2022-02-28 13:15:00,7290006492616,1,גבינה בולגרית פרוסות 5% 250 ג' גד,לא ידוע,לא ידוע,גבינה בולגרית פרוסות 5% 250 ג' גד,יחידה,1,יחידה,0,0.0000,23.9,23.9000,0,1,16 עכו
